County_ID,County,TB_2012,PP_2012,TB_2013,PP_2013,TB_2014,PP_2014,TB_2015,PP_2015,TB_2016,PP_2016,TB_2017,PP_2017,TB_Total,PP_Total
8,Baringo,662,617748,645,639986,598,663026,620,686895,648,711623,645,737242,3818,4056520
32,Bomet,1502,805248,1417,834236,1757,864269,1464,895383,1329,927616,1567,961011,9036,5287763
11,Bungoma,2138,1756338,1794,1800246,1869,1845252,1527,1891383,1804,1938668,2095,1987135,11227,11219022
16,Busia,1696,525603,1492,538743,1536,552212,1196,566017,936,580168,1314,594672,8170,3357415
30,Embu,1440,547808,1434,558764,1364,569940,1487,581339,1301,592965,1612,604825,8638,3455641
12,Garissa,1359,802447,1224,873063,1150,949892,844,1033483,870,1124429,920,1223379,6367,6006693
31,Homa Bay,4334,1025797,3524,1047339,2957,1069333,2172,1091789,1976,1114716,2164,1138126,17127,6487100
7,Isiolo,519,152065,545,155106,581,158208,544,161372,525,164600,623,167892,3337,959243
40,Kajiado,1646,764246,1609,791759,1650,820262,1608,849792,1501,880384,1576,912078,9590,5018521
14,Kakamega,2952,1788339,2539,1833048,2340,1878874,2207,1925846,1812,1973992,2458,2023342,14308,11423441
9,Keiyo-Marakwet,445,411414,459,426224,528,441569,509,457465,510,473934,600,490995,3051,2701601
24,Kericho,1801,843223,1709,873579,1850,905028,1705,937609,1436,971363,1740,1006332,10241,5537134
38,Kiambu,4197,1702453,4108,1729692,4083,1757367,3734,1785485,3986,1814053,4381,1843078,24489,10632128
44,Kilifi,2567,1209109,2204,1244173,2394,1280254,1919,1317381,1713,1355585,1913,1394897,12710,7801399
29,Kirinyaga,1482,553808,1508,562669,1488,571672,1374,580819,1185,590112,1386,599554,8423,3458634
35,Kisii,2083,1226411,1876,1252166,1834,1278461,1673,1305309,1530,1332720,1862,1360707,10858,7755774
25,Kisumu,4035,1031241,3373,1052897,3391,1075008,2962,1097583,2588,1120632,2493,1144166,18842,6521527
28,Kitui,2484,1074695,2044,1096189,2064,1118113,2030,1140475,1807,1163284,2262,1186550,12691,6779306
46,Kwale,1354,708131,1186,728666,1182,749798,1160,771542,1074,793917,922,816940,6878,4568994
15,Laikipia,778,443914,778,459895,783,476451,732,493604,753,511373,1019,529783,4843,2915020
43,Lamu,227,110632,251,113840,226,117141,211,120538,284,124034,327,127631,1526,713816
39,Machakos,2975,1165826,2368,1189143,2462,1212926,2235,1237184,2147,1261928,2642,1287166,14829,7354173
42,Makueni,1881,938667,1948,957440,1625,976589,1644,996121,1468,1016043,1721,1036364,10287,5921224
3,Mandera,805,1321085,630,1437340,640,1563826,624,1701443,553,1851170,608,2014073,3860,9888937
2,Marsabit,746,308988,575,315167,667,321471,647,327900,567,334458,669,341147,3871,1949131
17,Meru,3410,1439317,3381,1468104,3640,1497466,3433,1527415,3200,1557964,4230,1589123,21294,9079389
37,Migori,3055,976174,2593,996673,2378,1017603,1938,1038973,1661,1060792,1517,1083068,13142,6173283
47,Mombasa,5216,1023488,4750,1053169,4564,1083711,4259,1115139,3658,1147478,3894,1180755,26341,6603740
36,Murang'a,2148,988553,2068,1004369,2057,1020439,1918,1036766,1525,1053355,2148,1070208,11864,6173690
41,Nairobi,16483,3509911,14615,3643287,14039,3781732,12602,3925438,12808,4074605,13065,4229440,83612,23164413
20,Nakuru,4138,1782793,4208,1846973,4461,1913464,3697,1982349,3212,2053713,3509,2127647,23225,11706939
18,Nandi,784,837248,837,867389,796,898615,721,930965,698,964480,790,999201,4626,5497898
34,Narok,1387,946167,1221,980229,1442,1015518,1631,1052076,1343,1089951,1448,1129189,8472,6213130
33,Nyamira,882,636739,926,650110,809,663763,733,677702,780,691933,775,706464,4905,4026711
22,Nyandarua,697,625349,811,635355,816,645521,747,655849,647,666342,801,677004,4519,3905420
26,Nyeri,1784,727384,1534,739022,1362,750847,1364,762860,1057,775066,1341,787467,8442,4542646
6,Samburu,359,249014,463,257979,538,267266,590,276888,583,286856,585,297183,3118,1635186
19,Siaya,2924,896491,2193,915318,2307,934539,1959,954165,1684,974202,1840,994660,12907,5669375
45,Taita Taveta,645,310147,665,319142,598,328397,535,337920,541,347720,529,357804,3513,2001130
27,Tana River,402,261573,410,269159,400,276964,423,284996,444,293261,420,301766,2499,1687719
23,Tharaka,1027,387691,1020,395445,1052,403354,992,411421,1012,419649,1246,428042,6349,2445602
10,Trans Nzoia,1347,910404,1286,943179,1295,977133,1353,1012310,1087,1048753,1307,1086508,7675,5978287
1,Turkana,1816,951148,1740,985389,1776,1020863,2251,1057614,1796,1095688,2262,1135133,11641,6245835
13,Uasin Gishu,1941,994269,1773,1030062,1809,1067145,1668,1105562,1514,1145362,1598,1186595,10303,6528995
21,Vihiga,1120,597267,979,612199,1040,627504,824,643191,825,659271,883,675753,5671,3815185
4,Wajir,876,852523,651,927545,604,1009169,540,1097976,550,1194597,579,1299722,3800,6381532
5,West Pokot,1037,570078,1310,590601,1321,611862,1395,633889,1390,656709,1600,680351,8053,3743490
