Sn.no,County,HIV_2012,PP_2012,HIV_2013,PP_2013,HIV_2014,PP_2014,HIV_2015,PP_2015,HIV_2016,PP_2016,HIV_2017,PP_2017,HIV_Total,PP_Total
8,Baringo,248,617748,730,639986,750,663026,335,686895,259,711623,480,737242,2802,4056520
32,Bomet,1290,805248,694,834236,631,864269,401,895383,685,927616,768,961011,4468,5287763
11,Bungoma,1072,1756338,1043,1800246,1673,1845252,2109,1891383,2204,1938668,2318,1987135,10419,11219022
16,Busia,1952,525603,2580,538743,2371,552212,2685,566017,1857,580168,2358,594672,13802,3357415
30,Embu,389,547808,480,558764,545,569940,339,581339,557,592965,741,604825,3051,3455641
12,Garissa,103,802447,156,873063,142,949892,110,1033483,145,1124429,181,1223379,837,6006693
31,Homa Bay,2987,1025797,4331,1047339,3615,1069333,3639,1091789,2976,1114716,4771,1138126,22320,6487100
7,Isiolo,7,152065,100,155106,83,158208,130,161372,212,164600,301,167892,832,959243
40,Kajiado,447,764246,713,791759,570,820262,643,849792,655,880384,633,912078,3660,5018521
14,Kakamega,1150,1788339,966,1833048,2273,1878874,1242,1925846,2362,1973992,2366,2023342,10358,11423441
9,Keiyo-Marakwet,33,411414,44,426224,39,441569,69,457465,97,473934,239,490995,520,2701601
24,Kericho,3069,843223,1954,873579,1063,905028,1281,937609,1663,971363,1163,1006332,10193,5537134
38,Kiambu,1608,1702453,2059,1729692,1646,1757367,1323,1785485,1132,1814053,1594,1843078,9362,10632128
44,Kilifi,1776,1209109,1281,1244173,2429,1280254,1230,1317381,1258,1355585,1598,1394897,9572,7801399
29,Kirinyaga,1406,553808,1986,562669,610,571672,1033,580819,836,590112,609,599554,6480,3458634
35,Kisii,1031,1226411,1425,1252166,1611,1278461,1164,1305309,1081,1332720,1756,1360707,8068,7755774
25,Kisumu,6308,1031241,3599,1052897,4218,1075008,3779,1097583,3047,1120632,4321,1144166,25272,6521527
28,Kitui,1809,1074695,978,1096189,801,1118113,722,1140475,486,1163284,881,1186550,5677,6779306
46,Kwale,585,708131,679,728666,542,749798,744,771542,1090,793917,635,816940,4275,4568994
15,Laikipia,791,443914,408,459895,563,476451,1091,493604,839,511373,711,529783,4403,2915020
43,Lamu,152,110632,202,113840,143,117141,125,120538,208,124034,242,127631,1072,713816
39,Machakos,2370,1165826,1974,1189143,1771,1212926,1839,1237184,982,1261928,1656,1287166,10591,7354173
42,Makueni,461,938667,414,957440,1557,976589,1217,996121,1486,1016043,677,1036364,5811,5921224
3,Mandera,5,1321085,12,1437340,32,1563826,107,1701443,102,1851170,68,2014073,325,9888937
2,Marsabit,0,308988,23,315167,27,321471,65,327900,98,334458,182,341147,395,1949131
17,Meru,2164,1439317,1457,1468104,1163,1497466,786,1527415,708,1557964,997,1589123,7275,9079389
37,Migori,2415,976174,3750,996673,3670,1017603,3134,1038973,2535,1060792,3168,1083068,18671,6173283
47,Mombasa,2765,1023488,1954,1053169,2437,1083711,1404,1115139,1894,1147478,1260,1180755,11714,6603740
36,Murang'a,2223,988553,1053,1004369,1803,1020439,834,1036766,786,1053355,1187,1070208,7886,6173690
41,Nairobi,2047,3509911,3173,3643287,1026,3781732,2213,3925438,2654,4074605,5357,4229440,16470,23164413
20,Nakuru,4928,1782793,1386,1846973,2224,1913464,1481,1982349,1230,2053713,2430,2127647,13679,11706939
18,Nandi,1271,837248,2638,867389,937,898615,626,930965,941,964480,509,999201,6922,5497898
34,Narok,687,946167,523,980229,430,1015518,702,1052076,705,1089951,752,1129189,3799,6213130
33,Nyamira,951,636739,860,650110,1024,663763,1840,677702,1665,691933,2094,706464,8434,4026711
22,Nyandarua,1093,625349,715,635355,989,645521,682,655849,722,666342,765,677004,4966,3905420
26,Nyeri,2460,727384,3295,739022,1736,750847,1479,762860,1264,775066,990,787467,11224,4542646
6,Samburu,122,249014,289,257979,490,267266,290,276888,123,286856,297,297183,1611,1635186
19,Siaya,5967,896491,2746,915318,2289,934539,3574,954165,4744,974202,3112,994660,22432,5669375
45,Taita Taveta,441,310147,733,319142,335,328397,388,337920,654,347720,603,357804,3154,2001130
27,Tana River,69,261573,62,269159,53,276964,134,284996,71,293261,134,301766,522,1687719
23,Tharaka,280,387691,856,395445,432,403354,376,411421,238,419649,462,428042,2644,2445602
10,Trans Nzoia,1714,910404,1739,943179,1371,977133,846,1012310,947,1048753,910,1086508,7527,5978287
1,Turkana,198,951148,123,985389,244,1020863,316,1057614,307,1095688,275,1135133,1462,6245835
13,Uasin Gishu,4263,994269,3754,1030062,3056,1067145,1596,1105562,1057,1145362,1787,1186595,15513,6528995
21,Vihiga,501,597267,651,612199,654,627504,511,643191,418,659271,716,675753,3451,3815185
4,Wajir,4,852523,45,927545,19,1009169,49,1097976,41,1194597,40,1299722,198,6381532
5,West Pokot,255,570078,289,590601,382,611862,268,633889,223,656709,241,680351,1657,3743490
